title,hasCited
E-PUR - an energy-efficient processing unit for recurrent neural networks.,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,3D Sketch-Based 3D Shape Retrieval.
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Energy-Efficient Big Data Analytics in Datacenters.,3D Mesh Unfolding via Semidefinite Programming.
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,Point Cloud Compression using Depth Maps.
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,Maximizing system utilization via parallelism management for co-located parallel applications.
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,Shape Retrieval and 3D Gestural Interaction.
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,Maximizing system utilization via parallelism management for co-located parallel applications.
Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.,An Experimental Shape Matching Approach for Protein Docking.
Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.,Blue noise Sampling of surfaces from stereoscopic images.
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Energy-Efficient Wireless Sensing for Level Set Estimations.
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Architectural support for convolutional neural networks on modern CPUs.
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.,Energy-Efficient Big Data Analytics in Datacenters.
Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.,Markerless Motion Capture with Multi-view Structured Light.
Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.,Biased reference counting - minimizing atomic operations in garbage collection.
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.,Range Scans based 3D Shape Retrieval.
Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.,Non-uniform resampling in perspective compensated large scale 3D visualization.
Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Energy-Efficient Wireless Sensing for Level Set Estimations.,Human detection from still depth images.
Energy-Efficient Wireless Sensing for Level Set Estimations.,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.,Engineering commitment-based business protocols with the 2CL methodology.
Engineering commitment-based business protocols with the 2CL methodology.,Shadow Detection on 3D Point Cloud.
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,Blue noise Sampling of surfaces from stereoscopic images.
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",Human detection from still depth images.
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",Semantic Correspondence Across 3D Models for Example-based Modeling.
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",Performing Image-like Convolution on Triangular Meshes.
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,Transactional pre-abort handlers in hardware transactional memory.
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,Blue noise Sampling of surfaces from stereoscopic images.
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,Cost effective speculation with the omnipredictor.
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,Partial Shape Queries for 3D Object Retrieval.
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,Energy-Efficient Wireless Sensing for Level Set Estimations.
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,Large Scale Comprehensive 3D Shape Retrieval.
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.,Large Scale Comprehensive 3D Shape Retrieval.
Enhancing comparison shopping agents through ordering and gradual information disclosure.,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Enhancing comparison shopping agents through ordering and gradual information disclosure.,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Enhancing comparison shopping agents through ordering and gradual information disclosure.,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Enhancing comparison shopping agents through ordering and gradual information disclosure.,Cost effective speculation with the omnipredictor.
Enhancing decentralized service discovery in open service-oriented multi-agent systems.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Enhancing decentralized service discovery in open service-oriented multi-agent systems.,Data motifs - a lens towards fully understanding big data and AI workloads.
Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.,Towards Recognizing of 3D Models Using A Single Image.
