author,reviewedPaper 
Bertrand Le Saux,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Nicolas Audebert,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Nicolas Audebert,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Daniela Craciun,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Daniela Craciun,Stencil codes on a vector length agnostic architecture.
Guillaume Levieux,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Guillaume Levieux,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Guillaume Levieux,Large Scale Comprehensive 3D Shape Retrieval.
Matthieu Montes,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Matthieu Montes,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Sylvain Haas,EAR - ECC-aided refresh reduction through 2-D zero compression.
Sylvain Haas,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Atilla Baskurt,Protein Shape Retrieval.
Atilla Baskurt,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Atilla Baskurt,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Atilla Baskurt,Depth Estimation Algorithm for Color Coded Aperture Camera.
Florent Dupont,Copper micro and nano particles mixture for 3D interconnections application.
Florent Dupont,Scalability of Non-Rigid 3D Shape Retrieval.
Florent Dupont,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Florent Dupont,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Florent Dupont,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Florence Denis,Semantic Correspondence Across 3D Models for Example-based Modeling.
Florence Denis,Human detection from still depth images.
Florence Denis,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Florence Denis,Protein Shape Retrieval.
Florence Denis,Markerless Motion Capture with Multi-view Structured Light.
Binh-Son Hua,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Binh-Son Hua,Cost effective speculation with the omnipredictor.
Binh-Son Hua,Retrieval of Objects Captured with Kinect One Camera.
Binh-Son Hua,Range Scans based 3D Shape Retrieval.
Binh-Son Hua,Shape Retrieval of Non-Rigid 3D Human Models.
Quang-Trung Truong,Energy-Efficient Big Data Analytics in Datacenters.
Quang-Trung Truong,Transactional pre-abort handlers in hardware transactional memory.
Minh-Khoi Tran,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Quang-Hieu Pham,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Asako Kanezaki,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Asako Kanezaki,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Asako Kanezaki,3D system integration research at IMEC.
Asako Kanezaki,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Tang Lee,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Tang Lee,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Tang Lee,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
HungYueh Chiang,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
HungYueh Chiang,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Winston Hsu,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Bo Li 0013,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Bo Li 0013,Compiler assisted coalescing.
Bo Li 0013,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Bo Li 0013,Deformable Shape Retrieval with Missing Parts.
Yijuan Lu,Synergistic cache layout for reuse and compression.
Yijuan Lu,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Yijuan Lu,Transactional pre-abort handlers in hardware transactional memory.
Henry Johan,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Henry Johan,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Henry Johan,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Shoki Tashiro,Completion of Cultural Heritage Objects with Rotational Symmetry.
Shoki Tashiro,"A portable, automatic data qantizer for deep neural networks."
Shoki Tashiro,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Masaki Aono,3D integration - Applications and market trends.
Minh-Triet Tran,Shadow Detection on 3D Point Cloud.
Minh-Triet Tran,Retrieval of Objects Captured with Kinect One Camera.
Minh-Triet Tran,Architectural support for convolutional neural networks on modern CPUs.
Viet-Khoi Pham,3D shape template generation from RGB-D images capturing a moving and deforming object.
Viet-Khoi Pham,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Viet-Khoi Pham,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Hai-Dang Nguyen,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Hai-Dang Nguyen,Large Scale Comprehensive 3D Shape Retrieval.
Vinh-Tiep Nguyen,Retrieval of Gray Patterns Depicted on 3D Models.
Vinh-Tiep Nguyen,Automatic Location of Landmarks used in Manual Anthropometry.
Vinh-Tiep Nguyen,Scalability of Non-Rigid 3D Shape Retrieval.
Vinh-Tiep Nguyen,2D Scene Sketch-Based 3D Scene Retrieval.
Quang-Thang Tran,EAR - ECC-aided refresh reduction through 2-D zero compression.
Quang-Thang Tran,Towards an Observer-oriented Theory of Shape Comparison.
Quang-Thang Tran,Point Cloud Compression using Depth Maps.
Quang-Thang Tran,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Quang-Thang Tran,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Thuyen V. Phan,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Bao Truong,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Bao Truong,Range Scans based 3D Shape Retrieval.
Bao Truong,Recognition of Geometric Patterns Over 3D Models.
Minh N. Do,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Minh N. Do,Secure High Capacity Data Hiding for 3d Meshes.
Anh Duc Duong,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Anh Duc Duong,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Anh Duc Duong,Recognition of Geometric Patterns Over 3D Models.
Anh Duc Duong,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Lap-Fai Yu,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Lap-Fai Yu,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Lap-Fai Yu,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Lap-Fai Yu,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Duc Thanh Nguyen,3D system integration research at IMEC.
Duc Thanh Nguyen,Retrieval of Gray Patterns Depicted on 3D Models.
Duc Thanh Nguyen,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Duc Thanh Nguyen,Partial Shape Queries for 3D Object Retrieval.
Sai-Kit Yeung,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Sai-Kit Yeung,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Sai-Kit Yeung,2D Scene Sketch-Based 3D Scene Retrieval.
Sai-Kit Yeung,Compiler assisted coalescing.
Vincent Léon,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Vincent Itier,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Vincent Itier,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Vincent Itier,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Vincent Itier,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Vincent Itier,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Nicolas Bonneel,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Nicolas Bonneel,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Nicolas Bonneel,An Experimental Shape Matching Approach for Protein Docking.
Guillaume Lavoué,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Jean-Philippe Vandeborre,The Canonically Posed 3D Objects Dataset.
Jean-Philippe Vandeborre,Point Cloud Compression using Depth Maps.
Jean-Philippe Vandeborre,Semantic Correspondence Across 3D Models for Example-based Modeling.
Jean-Philippe Vandeborre,VW-SLP - auto-vectorization with adaptive vector width.
Frederico A. Limberger,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Richard C. Wilson 0001,Architectural support for convolutional neural networks on modern CPUs.
Richard C. Wilson 0001,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Richard C. Wilson 0001,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Richard C. Wilson 0001,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Richard C. Wilson 0001,Energy-Efficient Wireless Sensing for Level Set Estimations.
Masaki Aono,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Masaki Aono,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Masaki Aono,Directed Curvature Histograms for Robotic Grasping.
Masaki Aono,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Masaki Aono,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Nicolas Audebert,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Nicolas Audebert,Deformable Shape Retrieval with Missing Parts.
Nicolas Audebert,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Nicolas Audebert,Human detection from still depth images.
Nicolas Audebert,RGB-D to CAD Retrieval with ObjectNN Dataset.
Alexandre Boulch,Performing Image-like Convolution on Triangular Meshes.
Alexandre Boulch,Shape Retrieval of Low-Cost RGB-D Captures.
Alexandre Boulch,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Benjamín Bustos,3D Objects Exploration - Guidelines for Future Research.
Benjamín Bustos,Secure High Capacity Data Hiding for 3d Meshes.
Benjamín Bustos,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Benjamín Bustos,RGB-D Object-to-CAD Retrieval.
Andrea Giachetti 0001,2D Scene Sketch-Based 3D Scene Retrieval.
Andrea Giachetti 0001,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Andrea Giachetti 0001,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Afzal Godil,Depth Estimation Algorithm for Color Coded Aperture Camera.
Afzal Godil,ThOR - Three-dimensional Object Retrieval Library.
Afzal Godil,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Afzal Godil,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Afzal Godil,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Bertrand Le Saux,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Bertrand Le Saux,3D shape template generation from RGB-D images capturing a moving and deforming object.
Bo Li 0013,3D Object Retrieval with Multimodal Views.
Bo Li 0013,3D Objects Exploration - Guidelines for Future Research.
Bo Li 0013,3D system integration research at IMEC.
Bo Li 0013,An Edit Distance for Reeb Graphs.
Bo Li 0013,Biased reference counting - minimizing atomic operations in garbage collection.
Yijuan Lu,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Yijuan Lu,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Yijuan Lu,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Yijuan Lu,RGB-D Object-to-CAD Retrieval.
Yijuan Lu,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Hai-Dang Nguyen,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Hai-Dang Nguyen,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Hai-Dang Nguyen,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Hai-Dang Nguyen,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Hai-Dang Nguyen,3D shape template generation from RGB-D images capturing a moving and deforming object.
V.-T. Nguyen,Stencil codes on a vector length agnostic architecture.
V.-T. Nguyen,RGB-D to CAD Retrieval with ObjectNN Dataset.
V.-T. Nguyen,Efficient Filling of Disparity Holes Using Resolution Decoupling.
V.-T. Nguyen,3D Mesh Unfolding via Semidefinite Programming.
Viet-Khoi Pham,Maximizing system utilization via parallelism management for co-located parallel applications.
Ivan Sipiran,Automatic Location of Landmarks used in Manual Anthropometry.
Ivan Sipiran,Towards an Observer-oriented Theory of Shape Comparison.
Ivan Sipiran,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Ivan Sipiran,Cost effective speculation with the omnipredictor.
Atsushi Tatsuma,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Atsushi Tatsuma,Maximizing system utilization via parallelism management for co-located parallel applications.
Atsushi Tatsuma,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Minh-Triet Tran,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Santiago Velasco-Forero,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Santiago Velasco-Forero,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Santiago Velasco-Forero,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Juncheng Liu,Shape Retrieval and 3D Gestural Interaction.
Juncheng Liu,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Juncheng Liu,Blue noise Sampling of surfaces from stereoscopic images.
Juncheng Liu,Synergistic cache layout for reuse and compression.
Juncheng Liu,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Zhouhui Lian,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Zhouhui Lian,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Zhouhui Lian,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Zhouhui Lian,RGB-D Object-to-CAD Retrieval.
Jianguo Xiao,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Jianguo Xiao,2D Image-Based 3D Scene Retrieval.
Jianguo Xiao,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Jianguo Xiao,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Carlos M. Mateo,RGB-D Object-to-CAD Retrieval.
Carlos M. Mateo,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Carlos M. Mateo,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Pablo Gil,Protein Shape Retrieval.
Pablo Gil,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Pablo Gil,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Fernando Torres Medina,Shape Retrieval and 3D Gestural Interaction.
Fernando Torres Medina,Transactional pre-abort handlers in hardware transactional memory.
Hatem A. Rashwan,Shape Retrieval of Low-Cost RGB-D Captures.
Hatem A. Rashwan,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Sylvie Chambon,"A portable, automatic data qantizer for deep neural networks."
Sylvie Chambon,High productivity thermal compression bonding for 3D-IC.
Sylvie Chambon,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Sylvie Chambon,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Sylvie Chambon,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Géraldine Morin,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Géraldine Morin,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Géraldine Morin,An Evaluation of Local Feature Encodings for Shape Retrieval.
Géraldine Morin,Architectural support for convolutional neural networks on modern CPUs.
Pierre Gurdjos,Bag of Compact HKS-based Feature Descriptors.
Pierre Gurdjos,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Pierre Gurdjos,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Vincent Charvillat,RGB-D to CAD Retrieval with ObjectNN Dataset.
Vincent Charvillat,Partial Matching of Deformable Shapes.
Vincent Charvillat,Shadow Detection on 3D Point Cloud.
Emanuele Rodolà,3D Volume Matching for Mesh Animation of Moving Actors.
Emanuele Rodolà,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Emanuele Rodolà,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Emanuele Rodolà,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Emanuele Rodolà,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Luca Cosmo,3D Volume Matching for Mesh Animation of Moving Actors.
Luca Cosmo,Revealing parallel scans and reductions in recurrences through function reconstruction.
Or Litany,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Or Litany,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Or Litany,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Or Litany,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Michael M. Bronstein,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Michael M. Bronstein,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Michael M. Bronstein,Shape Retrieval of Non-Rigid 3D Human Models.
Michael M. Bronstein,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Michael M. Bronstein,2D Scene Sketch-Based 3D Scene Retrieval.
Alexander M. Bronstein,Computing in 3D.
Alexander M. Bronstein,ThOR - Three-dimensional Object Retrieval Library.
Alexander M. Bronstein,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Nicolas Audebert,3D Object Retrieval with Multimodal Views.
Nicolas Audebert,Transactional pre-abort handlers in hardware transactional memory.
A. Ben Hamza,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
A. Ben Hamza,2D Image-Based 3D Scene Retrieval.
Alexandre Boulch,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Alexandre Boulch,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Alexandre Boulch,Architectural support for convolutional neural networks on modern CPUs.
Alexandre Boulch,Retrieval and Classification on Textured 3D Models.
Umberto Castellani,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Umberto Castellani,3D Volume Matching for Mesh Animation of Moving Actors.
Minh N. Do,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Minh N. Do,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Minh N. Do,Protein Shape Retrieval.
Minh N. Do,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Duc Anh Duong,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Takahiko Furuya,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Takahiko Furuya,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Takahiko Furuya,Automatic annotation of tasks in structured code.
Andrea Gasparetto,Recognition of Geometric Patterns Over 3D Models.
Andrea Gasparetto,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Andrea Gasparetto,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Y. Hong,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Y. Hong,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
J. Kim,High productivity thermal compression bonding for 3D-IC.
J. Kim,EAR - ECC-aided refresh reduction through 2-D zero compression.
Bertrand Le Saux,Performing Image-like Convolution on Triangular Meshes.
Bertrand Le Saux,EAR - ECC-aided refresh reduction through 2-D zero compression.
Bertrand Le Saux,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Bertrand Le Saux,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Bertrand Le Saux,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Roee Litman,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Roee Litman,Depth Estimation Algorithm for Color Coded Aperture Camera.
Roee Litman,Retrieval of Surfaces with Similar Relief Patterns.
Majid Masoumi,Semantic Correspondence Across 3D Models for Example-based Modeling.
Majid Masoumi,3D Volume Matching for Mesh Animation of Moving Actors.
Giorgia Minello,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Hai-Dang Nguyen,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Hai-Dang Nguyen,Data motifs - a lens towards fully understanding big data and AI workloads.
V.-T. Nguyen,Protein Shape Retrieval.
V.-T. Nguyen,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Ryutarou Ohbuchi,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Ryutarou Ohbuchi,Shadow Detection on 3D Point Cloud.
Ryutarou Ohbuchi,3D integration - Applications and market trends.
Ryutarou Ohbuchi,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Viet-Khoi Pham,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Viet-Khoi Pham,ThOR - Three-dimensional Object Retrieval Library.
Thuyen V. Phan,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
M. Rezaei,Non-uniform resampling in perspective compensated large scale 3D visualization.
M. Rezaei,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Andrea Torsello,3D system integration research at IMEC.
Andrea Torsello,Cost-driven thread coarsening for GPU kernels.
Andrea Torsello,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Andrea Torsello,Bag of Compact HKS-based Feature Descriptors.
Minh-Triet Tran,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Q. T. Tran,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Q. T. Tran,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Q. T. Tran,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Bao Truong,Point-Cloud Shape Retrieval of Non-Rigid Toys.
L. Wan,Recognition of Geometric Patterns Over 3D Models.
L. Wan,Copper micro and nano particles mixture for 3D interconnections application.
L. Wan,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
L. Wan,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
L. Wan,Matching of Deformable Shapes with Topological Noise.
Changqing Zou,Shape Retrieval of Non-Rigid 3D Human Models.
Changqing Zou,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Changqing Zou,Towards an Observer-oriented Theory of Shape Comparison.
Manolis Savva,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Fisher Yu,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Hao Su,3D Object Retrieval with Parametric Templates.
Hao Su,Energy-Efficient Wireless Sensing for Level Set Estimations.
Hao Su,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Hao Su,An Edit Distance for Reeb Graphs.
Hao Su,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Asako Kanezaki,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Takahiko Furuya,Energy-Efficient Wireless Sensing for Level Set Estimations.
Takahiko Furuya,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Takahiko Furuya,Temporal Ensemble of Shape Functions.
Ryutarou Ohbuchi,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Ryutarou Ohbuchi,Markerless Motion Capture with Multi-view Structured Light.
Ryutarou Ohbuchi,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Ryutarou Ohbuchi,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Ryutarou Ohbuchi,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Zhichao Zhou,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Zhichao Zhou,An Evaluation of Local Feature Encodings for Shape Retrieval.
Zhichao Zhou,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Zhichao Zhou,2D Image-Based 3D Scene Retrieval.
Zhichao Zhou,Towards an Observer-oriented Theory of Shape Comparison.
Rui Yu,RGB-D Object-to-CAD Retrieval.
Rui Yu,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Rui Yu,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Rui Yu,Deformable Shape Retrieval with Missing Parts.
Rui Yu,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Song Bai,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Song Bai,Shadow Detection on 3D Point Cloud.
Song Bai,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Song Bai,2D Image-Based 3D Scene Retrieval.
Song Bai,The Canonically Posed 3D Objects Dataset.
Xiang Bai,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Xiang Bai,Range Scans based 3D Shape Retrieval.
Masaki Aono,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Masaki Aono,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Atsushi Tatsuma,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Atsushi Tatsuma,Scalability of Non-Rigid 3D Shape Retrieval.
Atsushi Tatsuma,EAR - ECC-aided refresh reduction through 2-D zero compression.
Atsushi Tatsuma,Automatic Location of Landmarks used in Manual Anthropometry.
Atsushi Tatsuma,An Edit Distance for Reeb Graphs.
Spyridon Thermos,Energy-Efficient Wireless Sensing for Level Set Estimations.
Spyridon Thermos,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Apostolos Axenopoulos,3D Mesh Unfolding via Semidefinite Programming.
Georgios Th. Papadopoulos,Retrieval and Classification on Textured 3D Models.
Petros Daras,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Petros Daras,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Xiao Deng,Towards Recognizing of 3D Models Using A Single Image.
Xiao Deng,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Zhouhui Lian,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Zhouhui Lian,An Evaluation of Local Feature Encodings for Shape Retrieval.
Zhouhui Lian,3D Objects Exploration - Guidelines for Future Research.
Bo Li 0013,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Bo Li 0013,3D Mesh Unfolding via Semidefinite Programming.
